Date	Price	Open	High	Low	Vol	Change 	Nothing
2017/02/03	1013	1004	1024	989	6167000	0.90	0
2017/02/02	1004	982	1009	974	5086000	2.19	0
2017/02/01	982	966	987	960	4522000	1.75	0
2017/01/31	966	921	968	917	5467000	4.86	0
2017/01/30	921	915	922	912	1906000	0.68	0
2017/01/29	915	919	922	913	1105000	-0.43	0
2017/01/28	919	918	922	913	1431000	0.05	0
2017/01/27	918	916	923	908	3097000	0.27	0
2017/01/26	916	894	919	894	3380000	2.36	0
2017/01/25	894	894	906	884	3790000	0.07	0
2017/01/24	894	922	926	889	5887000	-3.01	0
2017/01/23	922	919	928	911	3274000	0.29	0
2017/01/22	919	920	938	889	4793000	-0.11	0
2017/01/21	920	893	929	890	4038000	3.02	0
2017/01/20	893	895	902	879	3887000	-0.26	0
2017/01/19	895	872	905	871	5844000	2.66	0
2017/01/18	872	900	914	846	6926000	-3.07	0
2017/01/17	900	827	906	825	8221000	8.74	0
2017/01/16	827	821	837	818	3322000	0.75	0
2017/01/15	821	820	826	809	2440000	0.19	0
2017/01/14	820	825	839	808	4421000	-0.63	0
2017/01/13	825	810	835	771	8986000	1.82	0
2017/01/12	810	785	828	740	12024000	3.14	0
2017/01/11	785	904	918	752	19444000	-13.15	0
2017/01/10	904	900	911	890	5371000	0.51	0
2017/01/09	900	901	911	871	6258000	-0.12	0
2017/01/08	901	889	936	876	7691000	1.35	0
2017/01/07	889	886	901	807	13066000	0.31	0
2017/01/06	886	989	1027	853	19429000	-10.43	0
2017/01/05	989	1135	1151	875	24001000	-12.86	0
2017/01/04	1135	1033	1149	1022	15627000	9.88	0
2017/01/03	1033	1017	1036	1007	5479000	1.60	0
2017/01/02	1017	995	1032	990	6495000	2.17	0
2017/01/01	995	963	1002	956	4115000	3.33	0
2016/12/31	963	959	966	942	2756000	0.45	0
2016/12/30	959	971	972	927	7084000	-1.24	0
2016/12/29	971	972	983	949	6113000	-0.11	0
2016/12/28	972	926	975	926	7729000	5.01	0
2016/12/27	926	898	938	893	4969000	3.05	0
2016/12/26	898	891	909	886	3879000	0.82	0
2016/12/25	891	891	895	851	4248000	0.00	0
2016/12/24	891	917	921	881	4603000	-2.85	0
2016/12/23	917	860	920	858	10222000	6.63	0
2016/12/22	860	829	875	829	7056000	3.73	0
2016/12/21	829	799	833	796	6529000	3.77	0
2016/12/20	799	790	800	787	3448000	1.18	0
2016/12/19	790	789	794	786	2546000	0.10	0
2016/12/18	789	787	791	784	1453000	0.23	0
2016/12/17	787	782	792	779	2358000	0.65	0
2016/12/16	782	775	784	773	2761000	0.88	0
2016/12/15	775	777	780	773	2622000	-0.17	0
2016/12/14	777	779	781	771	2478000	-0.29	0
2016/12/13	779	779	790	768	3311000	0.03	0
2016/12/12	779	768	781	768	2876000	1.38	0
2016/12/11	768	774	774	763	1714000	-0.79	0
2016/12/10	774	771	777	769	1802000	0.46	0
2016/12/09	771	769	774	765	2418000	0.26	0
2016/12/08	769	766	773	761	2878000	0.38	0
2016/12/07	766	758	769	754	3487000	0.97	0
2016/12/06	758	754	763	751	3343000	0.51	0
2016/12/05	754	766	769	746	5117000	-1.57	0
2016/12/04	766	764	769	759	1916000	0.28	0
2016/12/03	764	771	772	756	3845000	-0.87	0
2016/12/02	771	753	779	752	6322000	2.43	0
2016/12/01	753	743	756	741	5403000	1.37	0
2016/11/30	743	733	745	731	3928000	1.36	0
2016/11/29	733	733	737	728	3257000	-0.10	0
2016/11/28	733	729	738	728	3412000	0.53	0
2016/11/27	729	734	738	727	2135000	-0.64	0
2016/11/26	734	740	741	726	2258000	-0.84	0
2016/11/25	740	735	741	729	2885000	0.69	0
2016/11/24	735	741	744	726	3724000	-0.78	0
2016/11/23	741	749	751	731	3787000	-1.10	0
2016/11/22	749	736	754	731	4444000	1.79	0
2016/11/21	736	729	744	727	3251000	1.05	0
2016/11/20	729	748	752	713	4742000	-2.59	0
2016/11/19	748	747	755	737	2563000	0.12	0
2016/11/18	747	738	751	731	3971000	1.28	0
2016/11/17	738	740	752	730	6277000	-0.37	0
2016/11/16	740	711	746	708	7957000	4.10	0
2016/11/15	711	705	717	698	4140000	0.93	0
2016/11/14	705	702	708	696	3775000	0.37	0
2016/11/13	702	704	706	685	3614000	-0.33	0
2016/11/12	704	715	717	701	2760000	-1.50	0
2016/11/11	715	715	720	712	2558000	0.06	0
2016/11/10	715	721	723	707	3333000	-0.95	0
2016/11/09	721	711	741	707	7070000	1.48	0
2016/11/08	711	705	715	701	3973000	0.78	0
2016/11/07	705	710	712	698	3074000	-0.64	0
2016/11/06	710	702	714	698	2581000	1.11	0
2016/11/05	702	702	706	694	2202000	0.00	0
2016/11/04	702	685	707	681	4824000	2.51	0
2016/11/03	685	734	744	670	9641000	-6.63	0
2016/11/02	734	727	736	718	3904000	0.93	0
2016/11/01	727	699	734	695	6807000	4.02	0
2016/10/31	699	697	707	682	3805000	0.20	0
2016/10/30	697	715	715	690	3933000	-2.47	0
2016/10/29	715	686	720	685	5403000	4.18	0
2016/10/28	686	682	688	679	3897000	0.58	0
2016/10/27	682	675	688	672	4656000	1.13	0
2016/10/26	675	651	678	651	4767000	3.64	0
2016/10/25	651	651	663	648	3674000	0.08	0
2016/10/24	651	653	654	646	3324000	-0.39	0
2016/10/23	653	656	661	649	2191000	-0.37	0
2016/10/22	656	631	660	630	3710000	3.97	0
2016/10/21	631	628	633	628	2809000	0.34	0
2016/10/20	628	629	631	626	2094000	-0.11	0
2016/10/19	629	635	637	624	3529000	-0.99	0
2016/10/18	635	637	639	632	2460000	-0.32	0
2016/10/17	637	640	641	635	2769000	-0.43	0
2016/10/16	640	637	642	636	1289000	0.49	0
2016/10/15	637	638	641	635	1238000	-0.14	0
2016/10/14	638	636	641	631	3142000	0.37	0
2016/10/13	636	636	640	632	2562000	-0.06	0
2016/10/12	636	641	643	632	2695000	-0.70	0
2016/10/11	641	617	642	616	5577000	3.75	0
2016/10/10	617	616	619	613	2523000	0.25	0
2016/10/09	616	618	618	613	1343000	-0.30	0
2016/10/08	618	616	620	615	1362000	0.26	0
2016/10/07	616	611	619	609	3273000	0.83	0
2016/10/06	611	612	613	609	2163000	-0.14	0
2016/10/05	612	609	614	608	2340000	0.47	0
2016/10/04	609	612	613	607	2499000	-0.43	0
